2018-11-08,"(Cream of Cauliflower, Polish Mushroom Barley) (Chicken Tikka Masala) (Chana Masala) (Basmati Rice, Vegetable Tagine) (Vegetable Medley Pizza)"
2018-11-13,"(Revvedup Tomato (Kale and Farro (Entree, Beef Lo Mein) (Vegetable Lo Mein) (Vegetable Stir Fry) (Sausage Pizza)"
2018-11-14,"(Cream of Chicken, Mushroom-Barley (Entree, Carved Turkey w/ Gravy) (White Bean Stuffed Tomato) (Mashed Potatoes, Lemon Garlic Broccoli) (Bacon and Roasted Garlic Pizza)"
2018-11-15,"(Creamy Potato, Jalapeno & Cheddar (Tomato Florentine (Veggie, Vegetable Pasta Primavera) (Roasted Brussel Sprouts) (Broccoli and Tomato Pizza, Ricotta Cheese and Herb)"
2018-11-26,"(India Spiced Chickpea & Potato, Revved Up Tomato (Entree, Grilled Cheese with American) (Moroccan Vegetable Stew with Quinoa) (Steamed Asparagus) (Herb Ricotta Pizza)"
2018-11-28,"(Vegan Split Pea (Pinto Bean (Entree, BBQ Grilled Chicken) (White Bean Stew) (Herb Red Potatoes, Roasted Cauliflower) (Greek Pizza with Feta)"
2018-11-29,"(Southwest Chicken Barley, Vegetable Orzo (Entree, Grilled Chicken w/ Herb Butter Sauce) (Eggplant Parmesan) (Spaghetti, Broccolini w/ Lemon Oil) (Bacon & Spinach Pizza)"
2018-11-30,"(Vegetable Bean (Tuscan Vegetable) (Beef Tacos) (Vegetable Tempheh Tacos) (Mexican Rice, Roasted Eggplant w/ Onions & Tomatoes) (Roasted Zucchini, Onion Pizza)"
2018-12-05,"(Cream of Broccoli, Vegetable Lentil (Entree, Beef Stir Fry) (Hunan Tofu) (Vegetable Fried Rice, Bok Choy) (Three Cheese Sicilian)"
2018-12-06,"(Cream of Cauliflower, Polish Mushroom Barley) (Chicken Tikka Masala) (Chana Masala) (Basmati Rice, Vegetable Tagine) (Vegetable Medley Pizza)"
2018-12-14,"(New England Clam Chowder, Vegetable Rice (Entree, Sesame Grilled Chicken) (Sesame Tofu) (Broccoli, Cauliflower and Carrot Medley) (Buffalo Chicken Pizza)"
2018-12-17,"(Vegetable - Quinoa (Chicken Noodle (Entree, Pasta Bar with Beef Meat & Pesto Sauces) (Vegetable and Bean Primavera) (Balsamic Grilled Eggplant) (Grilled Chicken, Spinach & Garlic)"
2018-12-19,"(Beef & Vegetable, Curried Butternut Squash) (Herb Baked Chicken w/ Gravy) (Paneer Curry) (Sauteed Spinach with Garlic, Roasted Red Potatoes Potatoes, Chicken Gravy) (Meat Lovers)"
2018-12-19,"(Beef & Vegetable, Curried Butternut Squash) (Herb Baked Chicken w/ Gravy) (Paneer Curry) (Sauteed Spinach with Garlic, Roasted Red Potatoes Potatoes, Chicken Gravy) (Meat Lovers)"
2018-12-20,"(Chicken Vegetable (Vegan Split Pea (Entree, BBQ Pork Sandwich) (Vegetarian Louisiana Gumbo) (Baked Sweet Potato Fries) (Hawaiian Pizza)"
2018-12-20,"(Chicken Vegetable (Vegan Split Pea (Entree, BBQ Pork Sandwich) (Vegetarian Louisiana Gumbo) (Baked Sweet Potato Fries) (Hawaiian Pizza)"
2019-01-08,(Tomato (Smokey Corn Chowder) (Beef Lo Mein) (Vegetable Lo Mein) (Vegetable Stir Fry) (Sausage Pizza)
2019-01-10,"(Creamy Potato, Jalapeno & Cheddar (Tomato Florentine (Entree, Macaroni and Cheese) (Vegetable Pasta Primavera) (Roasted Brussel Sprouts) (Broccoli and Tomato Pizza, Ricotta Cheese and Herb)"
2019-01-11,"(New England Clam Chowder, Vegetable Rice (Entree, Sesame Grilled Chicken) (Sesame Grilled Tofu) (Basmati Rice, Broccoli, Cauliflower and Carrot Medley) (Buffalo Chicken Pizza)"
2019-01-14,"(Vegetable Miso (Chicken Vegetable & Quinoa (Entree, Pasta Bar with Beef Meat & Pesto Sauces) (Vegetable and Bean Pesto Primavera) (Balsamic Grilled Eggplant) (Cheese Pizza, Pepperoni Pizza, Grilled Chicken, Spinach & Garlic)"
2019-01-15,"(Curried Rice & Lentil (New Orleans Red Bean (Entree, Beef & Broccoli Stir Fry) (Tofu and Broccoli Stir Fry) (Vegetable Stir Fry, Scallion Jasmine Rice) (Meat Lover's Pizza)"
2019-01-16,"(Chicken Potato Soup with Bacon, Curried Butternut Squash and Lentil) (Herb Baked Chicken, Gravy) (Red Bean Potato Stew) (Sauteed Green Beans with Garlic & Herbs, Roasted Red Potatoes, Chicken Gravy) (Vegetable Pizza Supreme)"
2019-01-17,"(Chicken Vegetable (Vegetable Lentil (Entree, BBQ Pork Sandwich) (Vegetarian Louisiana Gumbo) (Garlic Fries, Roasted Broccoli and Cauliflower) (Hawaiian Pizza)"
2019-01-18,"(Southwest Chicken Barley (Creamy Zucchini, Tomato, Basil (Entree, Beef Fajitas) (Vegetable Tacos) (Mexican Rice, Cumin Roasted Carrots) (Lebanese Flatbread with Cucumber & Tomato Salad)"
2019-01-22,"(Brunswick Stew, Tomato, Roasted Garlic and Eggplant (Entree, Chicken Tenders) (Stuffed Roasted Balsamic Onions) (Mashed Potatoes, Gravy, Green Beans w/ Herb Oil) (Cuban Pizza)"
2019-01-23,"(Yellow Split Pea, Beef and Vegetable (Entree, Fish and Chips) (White Bean stuffed Cabbage) (French Fries, Roasted Zucchini and Squash w/ Fresh Herbs) (Greek Pizza with Feta)"
2019-01-24,"(Southwest Chickpea (Chicken Noodle (Entree, Hamburgers) (Butternut Squash, Lentil Burgers) (Onion Rings, Roasted Brussel Sprouts) (Bacon & Spinach Pizza)"
